,,,,,,
date,reservoir_storage,conservation_storage,percent_full,conservation_capacity,,
2018-07-30,28460323,24261446,77.2,31440033,,
2018-07-31,28458058,24259364,77.2,31440033,,
2018-08-01,28434037,24235380,77.1,31440033,,
2018-08-02,28383120,24193965,77,31440033,,
2018-08-03,28325204,24147578,76.8,31440033,,
2018-08-04,28251956,24089834,76.6,31440033,,
2018-08-05,28212197,24052389,76.5,31440033,,
2018-08-06,28155626,24005553,76.4,31440033,,
2018-08-07,28100493,23956266,76.2,31440033,,
2018-08-08,28049102,23913695,76.1,31440033,,
2018-08-09,28019228,23885519,76,31440033,,
2018-08-10,28008313,23871237,75.9,31440033,,
2018-08-11,28014443,23877263,75.9,31440033,,
2018-08-12,28037195,23900309,76,31440033,,
2018-08-13,28052603,23916579,76.1,31440033,,
2018-08-14,28069086,23930747,76.1,31440033,,
2018-08-15,28065926,23926639,76.1,31440033,,
2018-08-16,28056215,23920700,76.1,31440033,,
2018-08-17,28034984,23905295,76,31440033,,
2018-08-18,27997399,23873080,75.9,31440033,,
2018-08-19,27956819,23829709,75.8,31440033,,
2018-08-20,27940860,23815414,75.7,31440033,,
2018-08-21,27924964,23802749,75.7,31440033,,
2018-08-22,27887433,23772287,75.6,31440033,,
2018-08-23,27826230,23720957,75.4,31440033,,
2018-08-24,27767114,23668498,75.3,31440033,,
2018-08-25,27729598,23635964,75.2,31440033,,
2018-08-26,27686838,23599904,75.1,31440033,,
2018-08-27,27627474,23547305,74.9,31440033,,
2018-08-28,27579257,23504112,74.8,31440033,,
2018-08-29,27546887,23475693,74.7,31440033,,
2018-08-30,27512271,23443455,74.6,31440033,,
2018-08-31,27456200,23394966,74.4,31440033,,
2018-09-01,27402782,23349480,74.3,31440033,,
2018-09-02,27354569,23308072,74.1,31440033,,
2018-09-03,27340575,23298791,74.1,31440033,,
2018-09-04,27368094,23317682,74.2,31440033,,
2018-09-05,27368255,23319031,74.2,31440033,,
2018-09-06,27379869,23332792,74.2,31440033,,
2018-09-07,27404916,23356921,74.3,31440033,,
2018-09-08,27483247,23425624,74.5,31440033,,
2018-09-09,27595169,23511278,74.8,31440033,,
2018-09-10,27678558,23586137,75,31440033,,
2018-09-11,27777654,23679877,75.3,31440033,,
2018-09-12,27850580,23748356,75.5,31440033,,
2018-09-13,27912392,23802245,75.7,31440033,,
2018-09-14,27962479,23836822,75.8,31440033,,
2018-09-15,28016056,23883082,76,31440033,,
2018-09-16,28056829,23872080,75.9,31440033,,
2018-09-17,28089773,23907282,76,31440033,,
2018-09-18,28111661,23927990,76.1,31440033,,
2018-09-19,28111283,23932642,76.1,31440033,,
2018-09-20,28109732,23935371,76.1,31440033,,
2018-09-21,28147525,23970582,76.2,31440033,,
2018-09-22,28589497,24337194,77.4,31440033,,
2018-09-23,29107976,24593095,78.2,31440033,,
2018-09-24,29316292,24690214,78.5,31440033,,
